stname,countyname,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20
MA ,Dukes County,69,NA,NA,10,NA,NA,NA,NA,3,1,1,1,0,0,0,0,1,1,0,0,0,1,1
MA ,Essex County,51,28,30,22,41,10,3,8,3,1,6,12,2,0,0,2,1,0,0,3,0,3,4
MA ,Franklin County,42,17,25,3,18,1,0,6,1,2,3,2,0,0,0,2,1,1,0,0,0,1,2
MA ,Hampden County,63,37,39,28,44,2,0,1,1,1,8,16,0,0,1,1,7,1,2,1,0,3,3
MA ,Hampshire County,75,25,38,16,37,4,0,1,1,1,8,12,0,0,0,4,1,4,1,3,0,4,2
MA ,Middlesex County,42,17,19,7,27,3,0,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0
MA ,Nantucket County,NA,68,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,1,0,NA,2,16,2
MA ,Norfolk County,41,16,18,7,28,5,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1
MA ,Plymouth County,49,32,35,23,40,16,5,14,8,5,13,21,8,0,0,7,4,5,1,5,0,10,12
MA ,Suffolk County,51,11,15,1,20,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MA ,Worcester County,50,28,27,21,38,6,1,5,1,0,4,8,0,0,0,1,1,1,0,0,0,2,5
MI,Alcona County,58,51,20,40,2,0,0,50,0,0,0,2,0,0,0,0,0,2,7,0,0,0,0
MI,Allegan County,87,61,54,52,69,9,4,44,3,9,6,14,0,0,2,5,7,7,12,0,0,9,3
MI,Alpena County,78,79,64,53,67,16,7,55,1,29,8,28,0,0,1,1,14,4,39,1,1,13,1
MI,Antrim County,87,46,30,31,15,5,0,30,0,2,0,2,0,0,0,0,1,0,4,0,0,3,0
MI,Arenac County,71,50,51,37,72,11,2,18,3,14,4,17,0,0,11,2,6,7,21,2,2,15,6
MI,Barry County,63,48,38,33,44,4,0,20,1,4,1,9,0,0,0,2,6,10,9,0,0,6,5
MI,Bay County,63,59,56,53,56,20,18,43,8,20,10,15,0,0,1,3,6,13,23,0,0,14,3
MI,Benzie County,60,22,10,17,0,4,0,16,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0
MI,Berrien County,71,59,47,49,57,21,4,40,14,21,20,23,1,0,6,13,14,20,29,0,1,17,20
MI,Branch County,55,50,49,40,41,12,3,32,1,11,6,10,0,0,2,3,3,9,17,0,0,8,12
MI,Calhoun County,72,67,56,56,63,18,3,37,1,15,5,17,0,0,3,4,8,20,29,0,1,8,7
MI,Cass County,87,65,61,62,71,26,10,61,9,32,14,30,0,0,10,12,13,27,33,0,1,15,20
MI,Charlevoix County,78,49,56,64,35,9,3,43,9,17,8,19,0,0,1,11,8,6,12,0,0,3,2
MI,Cheboygan County,107,56,48,43,18,15,4,27,3,4,13,11,0,0,1,6,9,20,19,0,0,1,1
MI,Chippewa County,75,43,43,65,39,1,1,30,1,2,2,2,1,0,1,1,5,8,7,1,1,1,1
MI,Clare County,43,48,41,23,17,1,0,14,1,1,1,1,0,0,2,2,3,12,7,0,0,2,1
MI,Clinton County,81,60,51,57,42,11,4,35,3,6,5,6,0,0,3,0,3,8,10,0,0,6,3
MI,Crawford County,81,68,1,24,32,1,2,18,1,1,1,11,1,0,0,1,1,9,26,0,1,1,0
MI,Delta County,75,65,53,43,41,10,2,43,18,5,5,14,1,0,5,6,5,13,22,0,1,13,5
MI,Dickinson County,84,88,81,65,75,40,7,58,25,29,29,41,2,1,27,44,33,40,42,13,2,38,22
MI,Eaton County,66,55,46,41,47,3,0,19,0,5,2,3,0,0,0,0,0,3,6,0,0,0,1
MI,Emmet County,103,48,50,75,46,32,14,51,2,3,1,16,0,0,4,6,20,22,21,0,0,1,0
MI,Genesee County,67,58,47,51,48,9,1,28,0,3,0,4,0,0,0,0,0,3,6,0,0,1,0
MI,Gladwin County,34,33,18,20,34,8,2,15,0,7,1,1,0,0,0,0,1,4,5,0,1,2,1
MI,Gogebic County,109,113,83,60,42,9,16,80,21,3,29,34,1,1,14,35,15,64,40,1,1,3,19
MI,Grand Traverse County,76,68,41,57,48,18,5,51,4,19,2,26,0,0,1,5,9,10,24,0,1,6,1
MI,Gratiot County,69,48,48,37,50,20,6,37,3,9,3,11,0,0,1,1,1,14,17,0,0,3,1
MI,Hillsdale County,71,55,57,54,63,15,2,48,0,6,0,3,0,0,0,0,1,6,4,0,0,1,4
MI,Houghton County,23,4,10,4,3,2,2,3,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1
MI,Huron County,81,59,29,41,59,3,4,39,6,8,6,16,0,0,0,0,0,7,16,0,0,5,6
MI,Ingham County,61,41,34,33,37,1,0,16,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0
MI,Ionia County,62,42,36,45,37,16,3,35,1,6,1,6,0,0,0,2,3,10,11,0,0,3,5
MI,Iosco County,50,52,26,35,25,1,1,23,1,1,1,1,0,0,0,0,1,6,1,0,1,0,0
MI,Iron County,92,18,3,21,4,1,2,74,3,3,3,3,1,2,2,3,6,3,20,2,2,3,4
MI,Isabella County,107,78,59,73,90,30,10,48,3,10,3,8,1,1,2,1,3,18,37,1,1,11,3
MI,Jackson County,77,65,56,54,57,14,6,42,1,12,5,10,0,0,0,1,2,7,14,0,0,6,3
MI,Kalamazoo County,73,60,48,58,62,15,4,39,0,6,2,8,0,0,0,1,1,10,17,0,0,5,5
MI,Kalkaska County,56,45,37,48,19,7,0,32,0,6,0,8,0,0,2,2,9,12,25,0,0,3,0
MI,Kent County,72,57,47,49,51,12,1,34,1,5,2,8,0,0,0,1,1,8,12,0,0,3,3
MI,Lake County,NA,108,48,8,41,42,168,55,3,19,5,12,3,47,2,3,3,12,6,7,52,12,10
MI,Lapeer County,72,53,44,54,56,12,1,23,0,2,0,2,0,0,0,0,0,3,5,0,0,1,0
MI,Leelanau County,74,69,64,66,43,14,2,57,0,2,1,5,0,0,0,4,3,4,12,0,0,1,0
MI,Lenawee County,60,49,40,41,37,10,4,29,1,11,4,9,0,0,3,3,6,11,14,3,0,9,2
MI,Livingston County,62,46,32,34,37,12,1,23,0,1,0,3,0,0,0,0,0,3,4,0,0,1,0
MI,Mackinac County,67,62,39,18,1,NA,5,0,1,2,0,0,NA,0,0,1,2,2,9,0,0,0,0
MI,Macomb County,62,50,39,36,41,3,0,17,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
MI,Manistee County,88,46,27,48,51,1,2,72,1,1,1,31,1,1,1,1,1,28,14,1,1,18,8
MI,Marquette County,56,42,32,30,16,4,2,23,2,3,1,6,0,0,1,1,2,3,9,0,0,1,1
MI,Mason County,70,56,39,63,54,28,13,58,23,24,23,14,1,0,9,1,12,25,33,1,6,8,17
MI,Mecosta County,114,91,64,70,90,85,44,72,3,12,2,17,1,1,2,11,4,44,24,1,2,12,6
MI,Menominee County,113,96,114,73,62,16,21,79,34,27,22,37,2,1,21,50,44,24,44,18,1,86,28
MI,Midland County,67,54,51,52,60,15,3,45,1,11,2,14,0,0,0,1,1,14,20,0,0,4,1
MI,Missaukee County,111,104,84,94,111,86,3,75,5,39,0,17,3,0,1,8,24,11,32,3,15,7,15
MI,Monroe County,70,60,51,51,56,14,7,36,3,15,14,12,0,0,9,7,8,13,19,1,0,11,7
MI,Montcalm County,72,67,46,44,48,11,3,37,5,6,3,5,0,0,0,2,4,7,7,0,0,4,2
MI,Montmorency County,43,17,2,6,2,0,11,20,0,1,0,1,0,0,0,0,1,0,14,0,0,0,0
MI,Muskegon County,79,68,56,57,66,26,4,48,2,12,5,15,0,0,1,5,5,11,16,0,0,9,5
MI,Newaygo County,78,50,40,56,44,11,1,28,0,2,2,5,0,0,6,1,12,6,11,0,1,12,6
MI,Oakland County,52,34,25,23,28,2,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MI,Oceana County,51,25,14,6,14,0,7,26,0,0,0,0,0,0,0,0,1,1,6,0,8,2,3
MI,Ogemaw County,89,71,74,44,44,3,10,34,5,3,0,7,0,0,1,4,7,8,12,0,1,7,5
MI,Osceola County,87,43,59,48,35,17,1,18,2,2,0,7,0,0,0,0,1,5,22,0,0,3,2
MI,Otsego County,78,46,56,54,45,3,4,38,4,14,6,13,0,0,7,2,17,6,19,0,0,16,1
MI,Ottawa County,73,65,55,57,62,30,8,53,6,19,8,22,0,0,5,7,9,19,23,0,1,14,12
MI,Roscommon County,82,53,22,22,22,3,10,41,0,1,0,6,0,0,0,2,0,5,7,0,0,5,1
MI,Saginaw County,73,67,56,63,63,17,6,42,1,11,5,13,0,0,1,2,5,15,19,0,0,7,3
MI,Saint Clair County,65,56,51,45,49,11,3,31,0,5,1,5,0,0,0,1,2,4,8,1,0,5,0
MI,Saint Joseph County,75,59,50,61,68,21,5,38,11,18,16,18,1,0,4,17,12,16,21,0,1,14,17
MI,Sanilac County,78,60,46,50,60,8,3,28,1,3,2,5,0,0,0,1,0,5,8,0,0,4,2
MI,Shiawassee County,56,45,47,42,46,7,5,24,0,5,0,9,0,0,1,1,3,4,10,0,0,3,0
MI,Tuscola County,75,57,55,55,57,13,6,26,1,7,3,10,0,0,0,5,1,8,12,0,0,3,0
MI,Van Buren County,72,63,47,53,60,25,5,42,3,10,5,6,0,0,2,5,6,14,13,0,0,9,7
MI,Washtenaw County,51,30,20,22,32,0,0,7,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
MI,Wayne County,48,32,19,17,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
